age,survivors_lx,deaths_dx,mortality_rate_qx,central_death_rate_mx,survival_probability_px,person_years_lived_Lx,total_future_years_Tx,life_expectancy_ex,std_error_life_expectancy,sex
82,67748,2831,0.04179,0.00132,0.95821,66333,646203,9.54,0.04,female
83,64917,3046,0.04692,0.00142,0.95308,63394,579870,8.93,0.04,female
84,61871,3263,0.05273,0.00156,0.94727,60240,516476,8.35,0.04,female
85,58609,3477,0.05933,0.00172,0.94067,56870,456236,7.78,0.04,female
86,55131,3684,0.06683,0.00186,0.93317,53289,399366,7.24,0.04,female
87,51447,3877,0.07535,0.00204,0.92465,49509,346077,6.73,0.04,female
88,47571,4046,0.08505,0.00223,0.91495,45548,296568,6.23,0.04,female
89,43525,4183,0.09611,0.00252,0.90389,41433,251021,5.77,0.04,female
90,39341,4277,0.10872,0.00285,0.89128,37203,209588,5.33,0.04,female
91,35064,4305,0.12278,0.00319,0.87722,32911,172385,4.92,0.04,female
92,30759,4246,0.13803,0.00365,0.86197,28636,139474,4.53,0.04,female
93,26513,4096,0.15448,0.00419,0.84552,24465,110838,4.18,0.04,female
94,22417,3858,0.1721,0.00481,0.8279,20488,86372,3.85,0.04,female
95,18559,3583,0.19308,0.00559,0.80692,16768,65884,3.55,0.04,female
96,14976,3193,0.21323,0.0066,0.78677,13379,49116,3.28,0.05,female
97,11783,2762,0.23445,0.00786,0.76555,10401,35737,3.03,0.05,female
98,9020,2314,0.25658,0.00953,0.74342,7863,25336,2.81,0.05,female
99,6706,1874,0.27945,0.01169,0.72055,5769,17473,2.61,0.06,female
100,4832,1463,0.30286,0.0149,0.69714,4100,11704,2.42,0.07,female
101,3368,1100,0.32657,0.01857,0.67343,2818,7604,2.26,0.08,female
102,2268,795,0.35035,0.02472,0.64965,1871,4785,2.11,0.1,female
103,1474,551,0.37396,0.03231,0.62604,1198,2914,1.98,0.12,female
104,923,366,0.39716,0.04106,0.60284,739,1716,1.86,0.14,female
105,556,233,0.41974,0.05292,0.58026,439,977,1.76,0.18,female
106,323,142,0.44149,0.07276,0.55851,251,537,1.66,0.24,female
107,180,83,0.46227,0.11899,0.53773,139,286,1.59,0.33,female
108,97,47,0.48193,0.18138,0.51807,74,147,1.52,0.41,female
109,50,25,0.50038,0.20944,0.49962,38,74,1.47,0.4,female
110,25,25,1,0,0,36,36,1.43,…,female
